instanceId,iteration,projectId,dueDateDays,needsVolt,samples,completionDay,lateness
4_1_3,3,P3,47,true,6,45,0
4_1_3,3,P4,44,false,5,45,1
4_1_3,3,P5,50,false,5,60,10
4_1_3,3,P6,53,true,5,60,7
4_1_3,3,P7,43,true,3,55,12
4_1_3,3,P8,48,false,5,55,7
4_1_3,3,P9,52,false,4,55,3
4_1_3,3,P50,57,true,5,75,18
4_1_3,3,P10,55,false,5,70,15
4_1_3,3,P12,50,true,5,60,10
4_1_3,3,P11,46,true,3,56,10
4_1_3,3,P14,45,true,4,40,0
4_1_3,3,P13,54,true,5,75,21
4_1_3,3,P16,53,true,5,60,7
4_1_3,3,P15,49,false,5,60,11
4_1_3,3,P18,46,true,4,45,0
4_1_3,3,P17,56,false,6,70,14
4_1_3,3,P19,51,false,5,55,4
